Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Constituency,District
Devakumar.R,IND,0,Graduate Professional,31,"Rs 10,41,000 ~ 10 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Devaraj.M,IND,0,8th Pass,42,"Rs 46,000 ~ 46 Thou+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Dr. Kalidas . P,Amma Makkal Munnettra Kazagam,0,Post Graduate,54,"Rs 13,73,33,735 ~ 13 Crore+","Rs 3,91,84,255 ~ 3 Crore+",Dr.Radhakrishnan Nagar,Chennai
Ebenezer. J.J. Alias John Ebenezer.J,DMK,0,Post Graduate,45,"Rs 15,80,302 ~ 15 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Ethiraj.R,IND,0,12th Pass,46,"Rs 7,66,738 ~ 7 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Fazil . A,Makkal Needhi Maiam,0,Post Graduate,35,"Rs 15,15,137 ~ 15 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Franklin.D,IND,0,Post Graduate,42,"Rs 6,73,193 ~ 6 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Gowrishankar . K,Naam Tamilar Katchi,0,10th Pass,44,"Rs 66,25,617 ~ 66 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Gunasekaran.G,IND,0,Graduate,65,"Rs 12,21,100 ~ 12 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Kalidass,IND,0,5th Pass,55,"Rs 5,61,500 ~ 5 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Kandeepan.G,IND,0,12th Pass,49,"Rs 8,60,000 ~ 8 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Madhan Raj . D,IND,0,Graduate Professional,44,"Rs 10,96,265 ~ 10 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Marimuthu.P,IND,0,5th Pass,65,"Rs 51,82,400 ~ 51 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Mohan . R,United States of India Party,0,10th Pass,63,"Rs 8,000 ~ 8 Thou+","Rs 16,50,000 ~ 16 Lacs+",Dr.Radhakrishnan Nagar,Chennai
Premkumar.P,IND,0,Post Graduate,42,"Rs 6,58,696 ~ 6 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Purushothaman . K,IND,0,Graduate Professional,26,"Rs 2,89,331 ~ 2 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Raajesh.R.S.,AIADMK,0,10th Pass,48,"Rs 5,44,70,228 ~ 5 Crore+","Rs 1,87,87,700 ~ 1 Crore+",Dr.Radhakrishnan Nagar,Chennai
Rajesh . I,IND,0,Graduate,40,"Rs 6,11,800 ~ 6 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Rajesh . S,IND,0,Graduate Professional,35,"Rs 6,61,780 ~ 6 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Ramadass . E,Makkal Nalvaazhvuk Katchi,0,8th Pass,68,"Rs 12,29,000 ~ 12 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Santhakumar . A,IND,0,Graduate Professional,31,"Rs 5,24,000 ~ 5 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Sasidaran.S,IND,0,Post Graduate,37,"Rs 5,38,093 ~ 5 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Sivakumar.S,SUCI(C),0,Others,31,"Rs 26,488 ~ 26 Thou+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Sridhar . C,IND,0,Graduate Professional,39,"Rs 5,72,038 ~ 5 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Venkatraman . C,IND,0,10th Pass,27,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Venugopal.D,SHS,2,10th Pass,35,"Rs 4,37,080 ~ 4 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Vijayan.P,BSP,0,Graduate Professional,35,"Rs 2,96,000 ~ 2 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Vivek.C,IND,0,12th Pass,38,"Rs 6,09,258 ~ 6 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Ahamed Fazil. M,Naam Tamilar Katchi,0,Graduate Professional,31,"Rs 19,86,135 ~ 19 Lacs+",Rs 0 ~,Harbour,Chennai
Anandraj. T.K,IND,0,Graduate Professional,37,"Rs 3,75,000 ~ 3 Lacs+",Rs 0 ~,Harbour,Chennai
Chandran. R,IND,0,Graduate Professional,30,"Rs 1,45,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Damodharan. A.G,IND,0,Graduate Professional,47,"Rs 3,11,000 ~ 3 Lacs+",Rs 0 ~,Harbour,Chennai
Ganesh. S,IND,0,Graduate Professional,39,"Rs 11,500 ~ 11 Thou+",Rs 0 ~,Harbour,Chennai
Kamal. J,IND,0,Graduate Professional,27,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,Harbour,Chennai
Krishnakumar. G,IND,0,Graduate Professional,35,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,Harbour,Chennai
Mahalingam. D,IND,0,8th Pass,50,"Rs 11,45,000 ~ 11 Lacs+",Rs 0 ~,Harbour,Chennai
Nagaraj. S,IND,0,Graduate,35,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,Harbour,Chennai
Pugalenthi. P,IND,0,Graduate Professional,48,"Rs 6,03,577 ~ 6 Lacs+",Rs 0 ~,Harbour,Chennai
Raghunath. K,IND,0,Post Graduate,49,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Ramesh. A,Makkal Needhi Maiam,3,12th Pass,41,"Rs 60,42,468 ~ 60 Lacs+","Rs 13,84,300 ~ 13 Lacs+",Harbour,Chennai
Ramesh. D,IND,0,Post Graduate,58,"Rs 13,75,896 ~ 13 Lacs+",Rs 0 ~,Harbour,Chennai
Ramki. P,IND,0,Graduate Professional,32,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Ravikumar. C,BSP,0,8th Pass,35,"Rs 4,81,000 ~ 4 Lacs+",Rs 0 ~,Harbour,Chennai
Santhana Krishnan. P,Amma Makkal Munnettra Kazagam,0,10th Pass,46,"Rs 1,85,33,389 ~ 1 Crore+",Rs 0 ~,Harbour,Chennai
Sekarbabu. P.K,DMK,25,10th Pass,58,"Rs 2,10,54,762 ~ 2 Crore+","Rs 17,80,000 ~ 17 Lacs+",Harbour,Chennai
Selvakumar. R,IND,0,10th Pass,60,"Rs 2,16,490 ~ 2 Lacs+",Rs 0 ~,Harbour,Chennai
Selvam. P,IND,0,8th Pass,53,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Selvaraj. S,IND,0,Graduate Professional,46,"Rs 8,35,019 ~ 8 Lacs+",Rs 0 ~,Harbour,Chennai
Shankar. A,IND,0,Graduate,31,"Rs 2,05,000 ~ 2 Lacs+",Rs 0 ~,Harbour,Chennai
Sivaraman. G,IND,0,Graduate Professional,46,"Rs 16,06,441 ~ 16 Lacs+",Rs 0 ~,Harbour,Chennai
Srinivasan. P,IND,0,Post Graduate,49,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Suresh. R,IND,0,Graduate Professional,39,"Rs 3,20,000 ~ 3 Lacs+",Rs 0 ~,Harbour,Chennai
Udhayakumar. V,IND,0,Graduate Professional,31,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Vinoj. P. Selvam,BJP,7,Graduate Professional,34,"Rs 13,16,57,207 ~ 13 Crore+","Rs 3,06,56,249 ~ 3 Crore+",Harbour,Chennai
Vivek Ram. A,IND,0,Graduate Professional,31,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Zionraj. M,IND,0,5th Pass,37,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,Harbour,Chennai
Balaji C,IND,0,Graduate Professional,42,"Rs 87,950 ~ 87 Thou+",Rs 0 ~,Thiruvallikeni,Chennai
Balaji K,IND,0,8th Pass,41,"Rs 4,06,728 ~ 4 Lacs+","Rs 2,35,974 ~ 2 Lacs+",Thiruvallikeni,Chennai
Ganesan P,IND,0,Graduate Professional,45,"Rs 14,59,500 ~ 14 Lacs+",Rs 0 ~,Thiruvallikeni,Chennai
Jayasimmaraja S M,Naam Tamilar Katchi,0,Graduate Professional,26,"Rs 4,99,000 ~ 4 Lacs+",Rs 0 ~,Thiruvallikeni,Chennai
Kannan C,IND,0,8th Pass,45,"Rs 40,34,000 ~ 40 Lacs+",Rs 0 ~,Thiruvallikeni,Chennai
Kassali A.V.A,Pattali Makkal Katchi,0,5th Pass,61,"Rs 66,40,572 ~ 66 Lacs+","Rs 1,13,036 ~ 1 Lacs+",Thiruvallikeni,Chennai
Krishnadasan S,IND,0,10th Pass,46,"Rs 25,50,000 ~ 25 Lacs+","Rs 14,00,000 ~ 14 Lacs+",Thiruvallikeni,Chennai
Madhana Gopal T,IND,0,Graduate Professional,44,"Rs 1,82,31,000 ~ 1 Crore+","Rs 87,50,000 ~ 87 Lacs+",Thiruvallikeni,Chennai
Manikandan E,IND,1,12th Pass,32,"Rs 89,000 ~ 89 Thou+","Rs 1,40,000 ~ 1 Lacs+",Thiruvallikeni,Chennai
Mohammed Hussain,IND,0,10th Pass,32,"Rs 9,000 ~ 9 Thou+",Rs 0 ~,Thiruvallikeni,Chennai
Mohammed Idris K,Indiya Jananayaka Katchi,0,Post Graduate,44,"Rs 7,31,40,534 ~ 7 Crore+","Rs 1,53,51,958 ~ 1 Crore+",Thiruvallikeni,Chennai
Muniyandi,IND,0,Not Given,55,"Rs 2,48,21,000 ~ 2 Crore+",Rs 0 ~,Thiruvallikeni,Chennai
Nagarajan,IND,0,Graduate Professional,51,"Rs 15,10,000 ~ 15 Lacs+",Rs 0 ~,Thiruvallikeni,Chennai
Raghu C,BSP,0,8th Pass,44,"Rs 4,21,000 ~ 4 Lacs+",Rs 0 ~,Thiruvallikeni,Chennai
Rajendran L,Amma Makkal Munnettra Kazagam,3,12th Pass,58,"Rs 1,03,88,740 ~ 1 Crore+","Rs 24,84,490 ~ 24 Lacs+",Thiruvallikeni,Chennai
Ravi E,IND,0,8th Pass,43,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,Thiruvallikeni,Chennai
Senthil Kumar H,IND,0,10th Pass,37,"Rs 1,04,000 ~ 1 Lacs+",Rs 0 ~,Thiruvallikeni,Chennai
Tabrez,Tipu Sultan Party,0,8th Pass,39,"Rs 9,22,000 ~ 9 Lacs+",Rs 0 ~,Thiruvallikeni,Chennai
Udhayanidhi Stalin,DMK,22,Graduate,43,"Rs 29,07,77,932 ~ 29 Crore+","Rs 1,35,000 ~ 1 Lacs+",Thiruvallikeni,Chennai
A George Benny,IND,0,Others,73,"Rs 20,80,000 ~ 20 Lacs+","Rs 30,000 ~ 30 Thou+",Thousand Lights,Chennai
Babu A,IND,0,Graduate Professional,44,"Rs 14,90,000 ~ 14 Lacs+","Rs 2,85,000 ~ 2 Lacs+",Thousand Lights,Chennai
Deeban M,IND,0,12th Pass,28,"Rs 1,85,000 ~ 1 Lacs+",Rs 0 ~,Thousand Lights,Chennai
Domnic A,Nam India Naam Indiyar Katchi,0,Others,40,"Rs 36,100 ~ 36 Thou+",Rs 0 ~,Thousand Lights,Chennai
Ezhilan N,DMK,0,Graduate Professional,41,"Rs 1,18,51,770 ~ 1 Crore+","Rs 3,54,836 ~ 3 Lacs+",Thousand Lights,Chennai
K M Shariff,Makkal Needhi Maiam,2,10th Pass,55,"Rs 69,65,240 ~ 69 Lacs+","Rs 7,30,000 ~ 7 Lacs+",Thousand Lights,Chennai
Kushboo Sundar,BJP,4,8th Pass,50,"Rs 41,20,21,115 ~ 41 Crore+","Rs 4,00,69,889 ~ 4 Crore+",Thousand Lights,Chennai
Manivannan N,IND,0,Graduate,45,"Rs 35,86,241 ~ 35 Lacs+","Rs 16,30,126 ~ 16 Lacs+",Thousand Lights,Chennai
Nirmal Kumar S,IND,0,12th Pass,25,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,Thousand Lights,Chennai
Parthiban V,IND,0,10th Pass,26,"Rs 5,800 ~ 5 Thou+",Rs 0 ~,Thousand Lights,Chennai
Radha Krishnan S,IND,0,Graduate Professional,28,"Rs 8,60,000 ~ 8 Lacs+",Rs 0 ~,Thousand Lights,Chennai
Riaz(A) Syed Zakeerulla,Anaithu Makkal Arasiyal Katchi,0,10th Pass,43,"Rs 31,63,784 ~ 31 Lacs+","Rs 72,00,000 ~ 72 Lacs+",Thousand Lights,Chennai
Sanjeevi S,IND,0,Post Graduate,48,"Rs 4,87,000 ~ 4 Lacs+",Rs 0 ~,Thousand Lights,Chennai
Sekar K,IND,0,5th Pass,62,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,Thousand Lights,Chennai
Sherine Aj,Naam Tamilar Katchi,0,Post Graduate,29,"Rs 31,66,000 ~ 31 Lacs+",Rs 0 ~,Thousand Lights,Chennai
Sudakar R,IND,0,10th Pass,27,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,Thousand Lights,Chennai
Vaidhyanathan N,Amma Makkal Munnettra Kazagam,1,Graduate,54,"Rs 22,05,96,990 ~ 22 Crore+","Rs 13,10,78,648 ~ 13 Crore+",Thousand Lights,Chennai
Velraj S,IND,0,Graduate Professional,33,"Rs 4,75,000 ~ 4 Lacs+",Rs 0 ~,Thousand Lights,Chennai
Williams D,BSP,0,8th Pass,50,"Rs 3,75,000 ~ 3 Lacs+",Rs 0 ~,Thousand Lights,Chennai
A. Jayaprakash,IND,0,10th Pass,54,"Rs 3,33,447 ~ 3 Lacs+",Rs 0 ~,Anna Nagar,Chennai
Ansar Ahamed,Anaithu Makkal Arasiyal Katchi,0,10th Pass,54,"Rs 50,65,000 ~ 50 Lacs+","Rs 75,40,000 ~ 75 Lacs+",Anna Nagar,Chennai
D. Jeevithkumar,BSP,0,Graduate,30,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,Anna Nagar,Chennai
Hari Shankar,IND,0,Others,45,"Rs 31,000 ~ 31 Thou+",Rs 0 ~,Anna Nagar,Chennai
J. Nagaraj,New Generation Peoples Party,0,Others,42,"Rs 32,91,264 ~ 32 Lacs+","Rs 15,00,000 ~ 15 Lacs+",Anna Nagar,Chennai
K. Sathish Kumar,IND,0,Post Graduate,32,"Rs 10,32,050 ~ 10 Lacs+",Rs 0 ~,Anna Nagar,Chennai
K.N. Gunasekaran,Amma Makkal Munnettra Kazagam,0,5th Pass,60,"Rs 4,14,45,000 ~ 4 Crore+",Rs 0 ~,Anna Nagar,Chennai
L. Kasinathan,IND,0,Graduate,64,"Rs 47,87,287 ~ 47 Lacs+",Rs 0 ~,Anna Nagar,Chennai
M. Manokaran,IND,0,5th Pass,51,"Rs 46,599 ~ 46 Thou+",Rs 0 ~,Anna Nagar,Chennai
M. Veriyandi,Anna MGR Dravida Makkal Kalgam,0,Illiterate,36,"Rs 1,000 ~ 1 Thou+",Rs 0 ~,Anna Nagar,Chennai
M.K. Mohan,DMK,4,8th Pass,68,"Rs 2,11,20,99,843 ~ 211 Crore+","Rs 2,77,73,052 ~ 2 Crore+",Anna Nagar,Chennai
P. Dhanasekar,Nam India Naam Indiyar Katchi,1,10th Pass,37,"Rs 64,000 ~ 64 Thou+","Rs 50,000 ~ 50 Thou+",Anna Nagar,Chennai
P. Manimaran,IND,0,5th Pass,55,"Rs 22,455 ~ 22 Thou+",Rs 0 ~,Anna Nagar,Chennai
P.E. Gopinath,IND,0,10th Pass,30,"Rs 2,70,000 ~ 2 Lacs+",Rs 0 ~,Anna Nagar,Chennai
R. Saravanan,IND,0,Post Graduate,55,"Rs 1,85,07,073 ~ 1 Crore+","Rs 99,289 ~ 99 Thou+",Anna Nagar,Chennai
S. Gokula Indira,AIADMK,0,Post Graduate,55,"Rs 7,99,16,968 ~ 7 Crore+","Rs 5,61,32,938 ~ 5 Crore+",Anna Nagar,Chennai
S. Sathyanarayanan,IND,0,10th Pass,47,"Rs 6,45,000 ~ 6 Lacs+","Rs 2,00,000 ~ 2 Lacs+",Anna Nagar,Chennai
S. Shankar,Naam Tamilar Katchi,0,Graduate Professional,48,"Rs 55,57,495 ~ 55 Lacs+","Rs 20,35,000 ~ 20 Lacs+",Anna Nagar,Chennai
S. Yuvaraja,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,8th Pass,48,"Rs 1,90,000 ~ 1 Lacs+",Rs 0 ~,Anna Nagar,Chennai
S.D. Prabhakar,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,41,"Rs 10,66,989 ~ 10 Lacs+","Rs 5,50,000 ~ 5 Lacs+",Anna Nagar,Chennai
V. Paulraj Guna,RPI(A),0,12th Pass,48,"Rs 6,45,000 ~ 6 Lacs+","Rs 6,00,000 ~ 6 Lacs+",Anna Nagar,Chennai
V. Ponraj,Makkal Needhi Maiam,0,Doctorate,54,"Rs 7,60,22,400 ~ 7 Crore+","Rs 84,50,000 ~ 84 Lacs+",Anna Nagar,Chennai
V.M. Nagarajan,IND,0,Graduate Professional,44,"Rs 62,46,332 ~ 62 Lacs+","Rs 3,63,223 ~ 3 Lacs+",Anna Nagar,Chennai
Amv.Prabhakara Raja,DMK,6,Post Graduate,32,"Rs 2,22,76,366 ~ 2 Crore+","Rs 24,62,100 ~ 24 Lacs+",Virugampakkam,Chennai
B.Parthasarathy,DMDK,3,10th Pass,56,"Rs 1,08,19,618 ~ 1 Crore+","Rs 10,19,676 ~ 10 Lacs+",Virugampakkam,Chennai
D.Prabakaran,IND,0,5th Pass,52,"Rs 2,94,959 ~ 2 Lacs+",Rs 0 ~,Virugampakkam,Chennai
D.Sundar Singh,IND,0,12th Pass,43,"Rs 5,93,910 ~ 5 Lacs+",Rs 0 ~,Virugampakkam,Chennai
E.Sankar,IND,0,8th Pass,49,"Rs 65,63,434 ~ 65 Lacs+",Rs 0 ~,Virugampakkam,Chennai
G.Thanigachalam,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,8th Pass,42,"Rs 20,02,000 ~ 20 Lacs+",Rs 0 ~,Virugampakkam,Chennai
K.Boopathy,IND,0,Graduate Professional,45,"Rs 16,18,840 ~ 16 Lacs+","Rs 60,121 ~ 60 Thou+",Virugampakkam,Chennai
M.Ellangovan,IND,0,Post Graduate,40,"Rs 55,31,437 ~ 55 Lacs+",Rs 0 ~,Virugampakkam,Chennai
M.Gunasekaran (A) Star M.Gunasekaran,IND,0,Graduate,47,"Rs 1,36,64,308 ~ 1 Crore+","Rs 9,54,538 ~ 9 Lacs+",Virugampakkam,Chennai
M.Mannu,IND,0,Graduate,43,"Rs 34,00,000 ~ 34 Lacs+",Rs 0 ~,Virugampakkam,Chennai
M.S.Ismail Khan,All India Jananayaka Makkal Kazhagam,0,Not Given,36,Nil,Rs 0 ~,Virugampakkam,Chennai
M.Sivakumar,IND,0,5th Pass,41,"Rs 4,95,000 ~ 4 Lacs+",Rs 0 ~,Virugampakkam,Chennai
M.Srinivasan,IND,0,Graduate Professional,30,"Rs 50,514 ~ 50 Thou+",Rs 0 ~,Virugampakkam,Chennai
Manju,Anaithu Makkal Arasiyal Katchi,0,8th Pass,36,"Rs 3,52,200 ~ 3 Lacs+","Rs 6,30,000 ~ 6 Lacs+",Virugampakkam,Chennai
R.Mayilsamy,IND,0,5th Pass,56,"Rs 3,08,20,000 ~ 3 Crore+","Rs 67,00,000 ~ 67 Lacs+",Virugampakkam,Chennai
R.Prabaharan,Tamizhaga Murpokku Makkal Katchi,0,Post Graduate,40,"Rs 5,91,000 ~ 5 Lacs+",Rs 0 ~,Virugampakkam,Chennai
S.Gunasekar,IND,0,10th Pass,31,"Rs 1,41,247 ~ 1 Lacs+",Rs 0 ~,Virugampakkam,Chennai
S.R.Dinesh Kumar,Anna MGR Dravida Makkal Kalgam,0,Illiterate,34,"Rs 5,000 ~ 5 Thou+",Rs 0 ~,Virugampakkam,Chennai
Sathasivam,IND,0,Graduate,35,"Rs 4,26,090 ~ 4 Lacs+","Rs 6,09,000 ~ 6 Lacs+",Virugampakkam,Chennai
T.S.Rajendran,Naam Tamilar Katchi,0,12th Pass,57,"Rs 37,40,500 ~ 37 Lacs+","Rs 2,50,000 ~ 2 Lacs+",Virugampakkam,Chennai
V.Gunasekaran,IND,0,10th Pass,60,"Rs 4,53,000 ~ 4 Lacs+",Rs 0 ~,Virugampakkam,Chennai
V.K.Kathir,IND,0,Graduate,40,"Rs 4,22,438 ~ 4 Lacs+",Rs 0 ~,Virugampakkam,Chennai
V.K.Senthil Kumar,IND,0,Graduate Professional,38,"Rs 16,11,953 ~ 16 Lacs+",Rs 0 ~,Virugampakkam,Chennai
V.Thalapathi,IND,0,Graduate,53,"Rs 25,80,243 ~ 25 Lacs+",Rs 0 ~,Virugampakkam,Chennai
Virugai V.N.Ravi,AIADMK,0,Graduate,58,"Rs 1,69,81,550 ~ 1 Crore+",Rs 0 ~,Virugampakkam,Chennai
Alaganathan. B,IND,0,Others,41,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,Saidapet,Chennai
Arun Kumar. M,IND,0,Graduate,25,"Rs 1,79,000 ~ 1 Lacs+",Rs 0 ~,Saidapet,Chennai
Ashok Kumar. V,IND,0,Graduate,41,"Rs 87,000 ~ 87 Thou+",Rs 0 ~,Saidapet,Chennai
Balaji. V,IND,0,10th Pass,45,"Rs 1,57,500 ~ 1 Lacs+",Rs 0 ~,Saidapet,Chennai
Elango. K,IND,0,8th Pass,58,"Rs 86,755 ~ 86 Thou+",Rs 0 ~,Saidapet,Chennai
Imran Khan. M,IND,0,8th Pass,36,"Rs 12,393 ~ 12 Thou+",Rs 0 ~,Saidapet,Chennai
Jothi Sairam. S,IND,0,12th Pass,27,"Rs 67,000 ~ 67 Thou+",Rs 0 ~,Saidapet,Chennai
Kandhasamy. R,IND,0,8th Pass,53,"Rs 10,10,000 ~ 10 Lacs+","Rs 5,900 ~ 5 Thou+",Saidapet,Chennai
Kothandapani. K,IND,0,8th Pass,45,"Rs 2,31,500 ~ 2 Lacs+",Rs 0 ~,Saidapet,Chennai
Kottur Kumar. R,BSP,0,Graduate,40,"Rs 1,91,000 ~ 1 Lacs+",Rs 0 ~,Saidapet,Chennai
Loganathan. J,IND,0,Illiterate,57,"Rs 16,432 ~ 16 Thou+",Rs 0 ~,Saidapet,Chennai
Manimaran. S,IND,0,8th Pass,50,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,Saidapet,Chennai
Murthi. R,IND,0,Graduate Professional,38,"Rs 22,87,969 ~ 22 Lacs+","Rs 6,40,900 ~ 6 Lacs+",Saidapet,Chennai
Prakash. C,IND,0,Graduate Professional,35,"Rs 57,034 ~ 57 Thou+",Rs 0 ~,Saidapet,Chennai
Prem Kumar. A,IND,0,Others,27,"Rs 6,000 ~ 6 Thou+",Rs 0 ~,Saidapet,Chennai
Rajesh. N,IND,0,10th Pass,36,"Rs 5,200 ~ 5 Thou+",Rs 0 ~,Saidapet,Chennai
Rishi Kumar. A,IND,0,Others,25,"Rs 99,444 ~ 99 Thou+",Rs 0 ~,Saidapet,Chennai
Sagayamary. N,RPI(A),0,10th Pass,41,"Rs 2,100 ~ 2 Thou+",Rs 0 ~,Saidapet,Chennai
Saidai Duraisamy,AIADMK,3,10th Pass,69,"Rs 34,18,73,688 ~ 34 Crore+","Rs 9,23,87,769 ~ 9 Crore+",Saidapet,Chennai
Saravanan. D,IND,0,10th Pass,39,"Rs 81,244 ~ 81 Thou+",Rs 0 ~,Saidapet,Chennai
Sathish Kumar. S,IND,0,Post Graduate,29,"Rs 1,05,000 ~ 1 Lacs+",Rs 0 ~,Saidapet,Chennai
Senthamizhan. G,Amma Makkal Munnettra Kazagam,0,Post Graduate,57,"Rs 2,43,98,889 ~ 2 Crore+","Rs 1,03,33,749 ~ 1 Crore+",Saidapet,Chennai
Sivasankar. S. R,IND,0,10th Pass,40,"Rs 74,500 ~ 74 Thou+",Rs 0 ~,Saidapet,Chennai
Snegapriya,Makkal Needhi Maiam,0,Graduate,29,"Rs 73,12,750 ~ 73 Lacs+","Rs 16,00,000 ~ 16 Lacs+",Saidapet,Chennai
Suresh Kumar. B,Naam Tamilar Katchi,0,12th Pass,37,"Rs 27,82,087 ~ 27 Lacs+","Rs 18,26,358 ~ 18 Lacs+",Saidapet,Chennai
Vasanth. H,IND,0,8th Pass,39,"Rs 75,000 ~ 75 Thou+",Rs 0 ~,Saidapet,Chennai
Venkatesh. K,IND,0,10th Pass,28,"Rs 1,23,500 ~ 1 Lacs+",Rs 0 ~,Saidapet,Chennai
Vijaya Kumar. R,IND,0,Graduate Professional,43,"Rs 89,000 ~ 89 Thou+",Rs 0 ~,Saidapet,Chennai
Bharaneeswaran R,Amma Makkal Munnettra Kazagam,0,Graduate,40,"Rs 1,13,49,220 ~ 1 Crore+","Rs 21,24,000 ~ 21 Lacs+",Thiyagarayanagar,Chennai
Dhanasekaran R,Desiya Makkal Sakthi Katchi,2,10th Pass,60,"Rs 14,16,452 ~ 14 Lacs+","Rs 8,00,000 ~ 8 Lacs+",Thiyagarayanagar,Chennai
Dhanush M,United States of India Party,0,Post Graduate,25,"Rs 74,529 ~ 74 Thou+",Rs 0 ~,Thiyagarayanagar,Chennai
Ellappan A.K.D,Mahathma Makkal Munnetra Kazhakam,0,Others,53,"Rs 15,60,000 ~ 15 Lacs+",Rs 0 ~,Thiyagarayanagar,Chennai
Johnson R,BSP,2,10th Pass,38,"Rs 34,95,169 ~ 34 Lacs+","Rs 1,89,353 ~ 1 Lacs+",Thiyagarayanagar,Chennai
Kannan S,IND,0,Graduate Professional,29,"Rs 75,000 ~ 75 Thou+",Rs 0 ~,Thiyagarayanagar,Chennai
Karunanithi J,DMK,3,8th Pass,51,"Rs 3,44,08,856 ~ 3 Crore+","Rs 1,65,00,000 ~ 1 Crore+",Thiyagarayanagar,Chennai
Karuppiah Pala,Makkal Needhi Maiam,0,10th Pass,77,"Rs 1,25,34,536 ~ 1 Crore+","Rs 2,00,000 ~ 2 Lacs+",Thiyagarayanagar,Chennai
Palayan R,IND,0,Graduate Professional,30,"Rs 39,000 ~ 39 Thou+",Rs 0 ~,Thiyagarayanagar,Chennai
Rajasekaran D,IND,0,Graduate,38,"Rs 7,67,000 ~ 7 Lacs+","Rs 2,31,000 ~ 2 Lacs+",Thiyagarayanagar,Chennai
Sathiyanaarayanan B,AIADMK,1,Graduate,57,"Rs 25,95,99,191 ~ 25 Crore+","Rs 16,46,26,726 ~ 16 Crore+",Thiyagarayanagar,Chennai
Sivasankari S,Naam Tamilar Katchi,0,Graduate Professional,33,"Rs 32,99,095 ~ 32 Lacs+","Rs 3,96,687 ~ 3 Lacs+",Thiyagarayanagar,Chennai
Thirunavukkarasu V,Makkalatchi Katchi,0,10th Pass,43,"Rs 12,45,913 ~ 12 Lacs+",Rs 0 ~,Thiyagarayanagar,Chennai
Vetri Selvi,Anaithu Makkal Arasiyal Katchi,0,Post Graduate,47,"Rs 96,05,065 ~ 96 Lacs+","Rs 16,15,000 ~ 16 Lacs+",Thiyagarayanagar,Chennai
Arunraj Balan,IND,0,12th Pass,31,"Rs 3,63,329 ~ 3 Lacs+",Rs 0 ~,Mylapore,Chennai
